,prompt
0,"A husky puppy plays with its own tail."
1,"An old man flies a colorful kite and smiles."
2,"A hat falls off the head of an old person and flies to a tree."
3,"Three happy cartoon penguins run around flapping their wings."
4,"An orange kitten plays with a tennis ball."
5,"Two Siamese cats eat sushi from a plate."
6,"An old car drives slowly up a steep hill."
7,"Three guinea pigs run through a small maze."
8,"A unicorn drinks water from a pond under a waterfall."
9,"Five rabbits hop over small obstacles."
10,"A time-lapse of autumn leaves falling from an old oak tree on a windy hill."
11,"A hamster runs in a running wheel for a while and then stops and walks away."
12,"A guitar player sits on a rock by a lake."
13,"A time-lapse of pizza baking in an oven."
14,"Soap bubbles float around reflecting sunlight."
15,"A cowboy rides an old horse towards sunset."
16,"A squirrel sits under a big mushroom on a rainy day."
17,"A blue sports car drives along a coastline with turquoise sea in the background."
18,"A group of rats plays basketball."
19,"Two young crows learn how to fly."
20,"A baby hippo swims in a pond."
21,"An old tree falls in a forest."
22,"Lightning hits a tree on a hill."
23,"A train passes a herd of cows."
24,"A dragonfly sails on a leaf in the water."
25,"A time-lapse of a tortoise eating a leaf of cabbage."
26,"A kayaker passes a family of swans."
27,"An alligator family crosses a busy road stopping the traffic."
28,"A time-lapse of a painter painting a picture of flowers."
29,"Hot coffee is poured over some ice-cream."
30,"A figure skater makes a difficult jump successfully."
31,"A squirrel falls asleep on a branch."
